id,pubMedId,publishedDateForPrint,title,authors,openAccess
742391493,36318920,2022 Oct 25,Multiphase coalescence mediates Hippo pathway activation.,Wang L; Choi K; Su T; Li B; Wu X; Zhang R; Driskill JH; Li H; Lei H; Guo P; Chen EH; Zheng Y; Pan D,False
742386533,36306735,2022 Oct 27,TREM2 drives microglia response to amyloid-β via SYK-dependent and -independent pathways.,Wang S; Sudan R; Peng V; Zhou Y; Du S; Yuede CM; Lei T; Hou J; Cai Z; Cella M; Nguyen K; Poliani PL; Beatty WL; Chen Y; Cao S; Lin K; Rodrigues C; Ellebedy AH; Gilfillan S; Brown GD; Holtzman DM; Brioschi S; Colonna M,False
742344787,36179670,2022 Sep 29,Pan-cancer analyses reveal cancer-type-specific fungal ecologies and bacteriome interactions.,Narunsky-Haziza L; Sepich-Poore GD; Livyatan I; Asraf O; Martino C; Nejman D; Gavert N; Stajich JE; Amit G; González A; Wandro S; Perry G; Ariel R; Meltser A; Shaffer JP; Zhu Q; Balint-Lahat N; Barshack I; Dadiani M; Gal-Yam EN; Patel SP; Bashan A; Swafford AD; Pilpel Y; Knight R; Straussman R,False
742338825,36167071,2022 Oct 13,Quorum-sensing- and type VI secretion-mediated spatiotemporal cell death drives genetic diversity in Vibrio cholerae.,Mashruwala AA; Qin B; Bassler BL,False
742306088,36055202,2022 Sep 01,Gut bacterial nutrient preferences quantified in vivo.,Zeng X; Xing X; Gupta M; Keber FC; Lopez JG; Lee YJ; Roichman A; Wang L; Neinast MD; Donia MS; Wühr M; Jang C; Rabinowitz JD,False
742262481,35914528,2022 Aug 04,Glioblastoma hijacks neuronal mechanisms for brain invasion.,Venkataramani V; Yang Y; Schubert MC; Reyhan E; Tetzlaff SK; Wißmann N; Botz M; Soyka SJ; Beretta CA; Pramatarov RL; Fankhauser L; Garofano L; Freudenberg A; Wagner J; Tanev DI; Ratliff M; Xie R; Kessler T; Hoffmann DC; Hai L; Dörflinger Y; Hoppe S; Yabo YA; Golebiewska A; Niclou SP; Sahm F; Lasorella A; Slowik M; Döring L; Iavarone A; Wick W; Kuner T; Winkler F,False
741374589,35032429,2022 02 03,Complement activation induces excessive T cell cytotoxicity in severe COVID-19.,Georg P; Astaburuaga-García R; Bonaguro L; Brumhard S; Michalick L; Lippert LJ; Kostevc T; Gäbel C; Schneider M; Streitz M; Demichev V; Gemünd I; Barone M; Tober-Lau P; Helbig ET; Hillus D; Petrov L; Stein J; Dey HP; Paclik D; Iwert C; Mülleder M; Aulakh SK; Djudjaj S; Bülow RD; Mei HE; Schulz AR; Thiel A; Hippenstiel S; Saliba AE; Eils R; Lehmann I; Mall MA; Stricker S; Röhmel J; Corman VM; Beule D; Wyler E; Landthaler M; Obermayer B; von Stillfried S; Boor P; Demir M; Wesselmann H; Suttorp N; Uhrig A; Müller-Redetzky H; Nattermann J; Kuebler WM; Meisel C; Ralser M; Schultze JL; Aschenbrenner AC; Thibeault C; Kurth F; Sander LE; Blüthgen N; Sawitzki B; PA-COVID-19 Study Group,False
742344786,36179671,2022 Sep 29,A pan-cancer mycobiome analysis reveals fungal involvement in gastrointestinal and lung tumors.,Dohlman AB; Klug J; Mesko M; Gao IH; Lipkin SM; Shen X; Iliev ID,False
741446866,35026153,2022 Jan 20,"Parallel analysis of transcription, integration, and sequence of single HIV-1 proviruses.",Einkauf KB; Osborn MR; Gao C; Sun W; Sun X; Lian X; Parsons EM; Gladkov GT; Seiger KW; Blackmer JE; Jiang C; Yukl SA; Rosenberg ES; Yu XG; Lichterfeld M,False
731312474,28942921,2017 Oct 05,Mitochondrial fission promotes the continued clearance of apoptotic cells by macrophages.,Wang Y; Subramanian M; Yurdagul A; Barbosa-Lorenzi VC; Cai B; de Juan-Sanz J; Ryan TA; Nomura M; Maxfield FR; Tabas I,False
739936880,33857424,2021 04 29,Synthetic lethality-mediated precision oncology via the tumor transcriptome.,Lee JS; Nair NU; Dinstag G; Chapman L; Chung Y; Wang K; Sinha S; Cha H; Kim D; Schperberg AV; Srinivasan A; Lazar V; Rubin E; Hwang S; Berger R; Beker T; Ronai Z; Hannenhalli S; Gilbert MR; Kurzrock R; Lee SH; Aldape K; Ruppin E,False
740425049,34233164,2021 08 05,A prion-like protein regulator of seed germination undergoes hydration-dependent phase separation.,Dorone Y; Boeynaems S; Flores E; Jin B; Hateley S; Bossi F; Lazarus E; Pennington JG; Michiels E; De Decker M; Vints K; Baatsen P; Bassel GW; Otegui MS; Holehouse AS; Exposito-Alonso M; Sukenik S; Gitler AD; Rhee SY,False
742344789,36179668,2022 Sep 29,Ensembles of endothelial and mural cells promote angiogenesis in prenatal human brain.,Crouch EE; Bhaduri A; Andrews MG; Cebrian-Silla A; Diafos LN; Birrueta JO; Wedderburn-Pugh K; Valenzuela EJ; Bennett NK; Eze UC; Sandoval-Espinosa C; Chen J; Mora C; Ross JM; Howard CE; Gonzalez-Granero S; Lozano JF; Vento M; Haeussler M; Paredes MF; Nakamura K; Garcia-Verdugo JM; Alvarez-Buylla A; Kriegstein AR; Huang EJ,False
738941913,33160446,2020 Nov 25,Elicitation of Potent Neutralizing Antibody Responses by Designed Protein Nanoparticle Vaccines for SARS-CoV-2.,Walls AC; Fiala B; Schäfer A; Wrenn S; Pham MN; Murphy M; Tse LV; Shehata L; O'Connor MA; Chen C; Navarro MJ; Miranda MC; Pettie D; Ravichandran R; Kraft JC; Ogohara C; Palser A; Chalk S; Lee EC; Guerriero K; Kepl E; Chow CM; Sydeman C; Hodge EA; Brown B; Fuller JT; Dinnon KH; Gralinski LE; Leist SR; Gully KL; Lewis TB; Guttman M; Chu HY; Lee KK; Fuller DH; Baric RS; Kellam P; Carter L; Pepper M; Sheahan TP; Veesler D; King NP,False
742187060,35688146,2022 07 07,Mapping information-rich genotype-phenotype landscapes with genome-scale Perturb-seq.,Replogle JM; Saunders RA; Pogson AN; Hussmann JA; Lenail A; Guna A; Mascibroda L; Wagner EJ; Adelman K; Lithwick-Yanai G; Iremadze N; Oberstrass F; Lipson D; Bonnar JL; Jost M; Norman TM; Weissman JS,False
718693660,8646771,1996 May 31,Recombination by replication.,Kogoma T,False
742268260,35931082,2022 Aug 18,Intestinal transgene delivery with native E. coli chassis allows persistent physiological changes.,Russell BJ; Brown SD; Siguenza N; Mai I; Saran AR; Lingaraju A; Maissy ES; Dantas Machado AC; Pinto AFM; Sanchez C; Rossitto LA; Miyamoto Y; Richter RA; Ho SB; Eckmann L; Hasty J; Gonzalez DJ; Saghatelian A; Knight R; Zarrinpar A,False
742306090,36055200,2022 Sep 01,A serotonergic axon-cilium synapse drives nuclear signaling to alter chromatin accessibility.,Sheu SH; Upadhyayula S; Dupuy V; Pang S; Deng F; Wan J; Walpita D; Pasolli HA; Houser J; Sanchez-Martinez S; Brauchi SE; Banala S; Freeman M; Xu CS; Kirchhausen T; Hess HF; Lavis L; Li Y; Chaumont-Dubel S; Clapham DE,False
742287886,35988542,2022 09 01,Post-gastrulation synthetic embryos generated ex utero from mouse naive ESCs.,Tarazi S; Aguilera-Castrejon A; Joubran C; Ghanem N; Ashouokhi S; Roncato F; Wildschutz E; Haddad M; Oldak B; Gomez-Cesar E; Livnat N; Viukov S; Lokshtanov D; Naveh-Tassa S; Rose M; Hanna S; Raanan C; Brenner O; Kedmi M; Keren-Shaul H; Lapidot T; Maza I; Novershtern N; Hanna JH,False
742323135,36113466,2022 Sep 14,Group II intron-like reverse transcriptases function in double-strand break repair.,Park SK; Mohr G; Yao J; Russell R; Lambowitz AM,False
738736415,32979320,2020 10 15,Dual functions of a rubisco activase in metabolic repair and recruitment to carboxysomes.,Flecken M; Wang H; Popilka L; Hartl FU; Bracher A; Hayer-Hartl M,False
718691402,9865700,1998 Dec 11,Randomization of left-right asymmetry due to loss of nodal cilia generating leftward flow of extraembryonic fluid in mice lacking KIF3B motor protein.,Nonaka S; Tanaka Y; Okada Y; Takeda S; Harada A; Kanai Y; Kido M; Hirokawa N,False
741486584,35051368,2022 Feb 17,Magnesium sensing via LFA-1 regulates CD8+ T cell effector function.,Lötscher J; Martí I Líndez AA; Kirchhammer N; Cribioli E; Giordano Attianese GMP; Trefny MP; Lenz M; Rothschild SI; Strati P; Künzli M; Lotter C; Schenk SH; Dehio P; Löliger J; Litzler L; Schreiner D; Koch V; Page N; Lee D; Grählert J; Kuzmin D; Burgener AV; Merkler D; Pless M; Balmer ML; Reith W; Huwyler J; Irving M; King CG; Zippelius A; Hess C,False
742286448,35985288,2022 Aug 18,Non-canonical odor coding in the mosquito.,Herre M; Goldman OV; Lu TC; Caballero-Vidal G; Qi Y; Gilbert ZN; Gong Z; Morita T; Rahiel S; Ghaninia M; Ignell R; Matthews BJ; Li H; Vosshall LB; Younger MA,False
742301998,36041435,2022 Sep 15,Accurate de novo design of membrane-traversing macrocycles.,Bhardwaj G; O'Connor J; Rettie S; Huang YH; Ramelot TA; Mulligan VK; Alpkilic GG; Palmer J; Bera AK; Bick MJ; Di Piazza M; Li X; Hosseinzadeh P; Craven TW; Tejero R; Lauko A; Choi R; Glynn C; Dong L; Griffin R; van Voorhis WC; Rodriguez J; Stewart L; Montelione GT; Craik D; Baker D,False
742289108,35998627,2022 Sep 01,Distinct transcriptome architectures underlying lupus establishment and exacerbation.,Nakano M; Ota M; Takeshima Y; Iwasaki Y; Hatano H; Nagafuchi Y; Itamiya T; Maeda J; Yoshida R; Yamada S; Nishiwaki A; Takahashi H; Akutsu Y; Kusuda T; Suetsugu H; Liu L; Kim K; Yin X; Bang SY; Cui Y; Lee HS; Shoda H; Zhang X; Bae SC; Terao C; Yamamoto K; Okamura T; Ishigaki K; Fujio K,False
742289106,35998629,2022 Aug 15,Extracellular pH sensing by plant cell-surface peptide-receptor complexes.,Liu L; Song W; Huang S; Jiang K; Moriwaki Y; Wang Y; Men Y; Zhang D; Wen X; Han Z; Chai J; Guo H,False
742140111,35551765,2022 05 26,Reciprocal cell-ECM dynamics generate supracellular fluidity underlying spontaneous follicle patterning.,Palmquist KH; Tiemann SF; Ezzeddine FL; Yang S; Pfeifer CR; Erzberger A; Rodrigues AR; Shyer AE,False
739936894,33852913,2021 04 29,"ER-to-Golgi protein delivery through an interwoven, tubular network extending from ER.",Weigel AV; Chang CL; Shtengel G; Xu CS; Hoffman DP; Freeman M; Iyer N; Aaron J; Khuon S; Bogovic J; Qiu W; Hess HF; Lippincott-Schwartz J,False
742196545,35714609,2022 07 07,Thymic epithelial cells co-opt lineage-defining transcription factors to eliminate autoreactive T cells.,Michelson DA; Hase K; Kaisho T; Benoist C; Mathis D,False
742286444,35985322,2022 Sep 01,Sustained deep-tissue voltage recording using a fast indicator evolved for two-photon microscopy.,Liu Z; Lu X; Villette V; Gou Y; Colbert KL; Lai S; Guan S; Land MA; Lee J; Assefa T; Zollinger DR; Korympidou MM; Vlasits AL; Pang MM; Su S; Cai C; Froudarakis E; Zhou N; Patel SS; Smith CL; Ayon A; Bizouard P; Bradley J; Franke K; Clandinin TR; Giovannucci A; Tolias AS; Reimer J; Dieudonné S; St-Pierre F,False
742242428,35858625,2022 Jul 14,Replication stress impairs chromosome segregation and preimplantation development in human embryos.,Palmerola KL; Amrane S; De Los Angeles A; Xu S; Wang N; de Pinho J; Zuccaro MV; Taglialatela A; Massey DJ; Turocy J; Robles A; Subbiah A; Prosser B; Lobo R; Ciccia A; Koren A; Baslan T; Egli D,False
740402340,34216540,2021 Aug 05,Polyamine metabolism is a central determinant of helper T cell lineage fidelity.,Puleston DJ; Baixauli F; Sanin DE; Edwards-Hicks J; Villa M; Kabat AM; Kamiński MM; Stanckzak M; Weiss HJ; Grzes KM; Piletic K; Field CS; Corrado M; Haessler F; Wang C; Musa Y; Schimmelpfennig L; Flachsmann L; Mittler G; Yosef N; Kuchroo VK; Buescher JM; Balabanov S; Pearce EJ; Green DR; Pearce EL,False
737069796,31835028,2019 Dec 12,"Genomic Relationships, Novel Loci, and Pleiotropic Mechanisms across Eight Psychiatric Disorders.",Cross-Disorder Group of the Psychiatric Genomics Consortium.,False
740095901,33984278,2021 06 24,The ZAR1 resistosome is a calcium-permeable channel triggering plant immune signaling.,Bi G; Su M; Li N; Liang Y; Dang S; Xu J; Hu M; Wang J; Zou M; Deng Y; Li Q; Huang S; Li J; Chai J; He K; Chen YH; Zhou JM,False
736703032,31585079,2019 Oct 03,Genomic Decoding of Neuronal Depolarization by Stimulus-Specific NPAS4 Heterodimers.,Brigidi GS; Hayes MGB; Delos Santos NP; Hartzell AL; Texari L; Lin PA; Bartlett A; Ecker JR; Benner C; Heinz S; Bloodgood BL,False
